,Profissao,Experiencia,Habilidades,Nivel Educacao,Localizacao,Salario
0,AI Engineer,10,2,Bachelor,India,109413
1,Data Analyst,5,17,Bachelor,Australia,93764
2,Frontend Developer,18,4,PhD,Singapore,148123
3,Business Analyst,19,13,PhD,Canada,189123
4,Product Manager,15,7,Bachelor,Sweden,165069
5,AI Engineer,0,4,High School,USA,180351
6,Backend Developer,6,16,High School,Canada,165375
7,Machine Learning Engineer,4,18,Bachelor,Canada,202463
8,AI Engineer,5,14,Diploma,Singapore,171834
9,Frontend Developer,18,2,PhD,India,128377
10,Frontend Developer,1,10,High School,Netherlands,105755
11,Business Analyst,19,7,Master,Netherlands,157417
12,Product Manager,8,3,High School,Canada,154190
13,Data Analyst,3,3,Bachelor,Singapore,87600
14,Business Analyst,14,5,PhD,India,106481
15,Business Analyst,0,9,Bachelor,Remote,85143
16,Machine Learning Engineer,11,16,PhD,Germany,191757
17,DevOps Engineer,10,1,Bachelor,UK,155931
18,Product Manager,9,12,Master,Singapore,141207
19,Software Engineer,11,10,High School,Sweden,124532
20,Business Analyst,4,15,Bachelor,UK,108203
21,Cybersecurity Analyst,17,7,Diploma,Germany,161268
22,DevOps Engineer,10,8,Bachelor,Germany,151828
23,Software Engineer,5,2,High School,Sweden,115827
24,Cybersecurity Analyst,12,15,High School,Australia,125030
25,Product Manager,13,8,Master,India,113838
26,Data Scientist,2,14,Bachelor,Remote,109478
27,Cybersecurity Analyst,9,19,PhD,Germany,168253
28,Backend Developer,7,15,Diploma,Australia,119988
29,DevOps Engineer,4,19,Diploma,Australia,141409
30,Cybersecurity Analyst,4,8,PhD,Australia,121972
31,Cloud Engineer,8,3,PhD,UK,162923
32,Data Scientist,13,3,Master,India,111158
33,Frontend Developer,14,17,Diploma,India,84456
34,Frontend Developer,18,18,Diploma,Sweden,158451
35,Backend Developer,10,4,Master,Australia,115823
36,Cybersecurity Analyst,0,13,PhD,Singapore,143181
37,Cybersecurity Analyst,11,10,Bachelor,Canada,167629
38,Machine Learning Engineer,15,15,PhD,Germany,213920
39,Cybersecurity Analyst,10,12,Master,Australia,184393
40,AI Engineer,5,10,Diploma,Germany,143403
41,Data Analyst,2,4,PhD,Netherlands,96611
42,Cloud Engineer,5,4,PhD,Germany,152413
43,Machine Learning Engineer,15,15,High School,Germany,212249
44,Product Manager,8,14,High School,Singapore,136543
45,Machine Learning Engineer,8,17,Bachelor,Canada,177406
46,AI Engineer,9,10,Master,Netherlands,194075
47,Product Manager,13,3,Diploma,Canada,145069
48,Cloud Engineer,14,14,Diploma,Remote,155886
49,AI Engineer,15,13,High School,Remote,152004
50,Software Engineer,11,11,Diploma,Canada,121570
51,Data Analyst,17,6,Master,Australia,149491
52,Cloud Engineer,11,8,Diploma,Remote,127838
53,Cybersecurity Analyst,12,9,High School,Singapore,163138
54,Software Engineer,20,6,Master,Remote,194364
55,Backend Developer,0,11,PhD,UK,159274
56,Cloud Engineer,10,7,Master,Germany,190270
57,Backend Developer,12,3,Bachelor,Canada,186953
58,Product Manager,8,3,Master,Canada,186117
59,Software Engineer,14,16,PhD,Sweden,165569
60,Data Analyst,2,6,Master,Australia,89018
61,Cybersecurity Analyst,4,12,Diploma,Netherlands,115238
62,Cybersecurity Analyst,12,15,Master,Germany,165648
63,AI Engineer,20,5,Diploma,India,112984
64,Cybersecurity Analyst,16,1,Master,Remote,147049
65,Business Analyst,14,18,Diploma,USA,153999
66,Machine Learning Engineer,15,6,High School,Netherlands,147962
67,Data Scientist,11,18,Master,Sweden,168153
68,Data Analyst,12,18,High School,Australia,124202
69,Software Engineer,6,16,Master,USA,200988
70,Business Analyst,12,3,High School,Sweden,110222
71,Data Analyst,14,2,Bachelor,Sweden,101805
72,Software Engineer,8,2,Master,Singapore,119579
